Time [s],Channel 0
0.253381300,0
0.256186500,1
0.259024800,0
0.260137100,1
0.260457100,0
0.262410100,1
0.264783600,0
0.265327600,1
0.265596900,0
0.266676800,1
0.268081300,0
0.269407300,1
0.272404800,0
0.274868500,1
0.277692200,0
0.278780700,1
0.280896900,0
0.281546700,1
0.283254600,0
0.283554100,1
0.283609000,0
0.285636500,1
0.288812400,0
0.289465800,1
0.290838900,0
0.291793700,1
0.294385100,0
0.297518200,1
0.299261000,0
0.300987300,1
0.303383900,0
0.305186200,1
0.305794400,0
0.306436000,1
0.309296900,0
0.310854000,1
0.311360400,0
0.314081800,1
0.316912600,0
0.317192900,1
0.318039100,0
0.320303800,1
0.322776000,0
0.323939600,1
0.324222800,0
0.324664000,1
0.326459400,0
0.328743900,1
0.331076400,0
0.333097000,1
0.333683900,0
0.335343000,1
0.338205100,0
0.340208100,1
0.340555200,0
0.343792500,1
0.344299800,0
0.344498300,1
0.345398700,0
0.347577700,1
0.349641400,0
0.351987900,1
0.353342000,0
0.356468800,1
0.357689700,0
0.359419800,1
0.361181200,0
0.362527600,1
0.365514700,0
0.365642900,1
0.368590400,0
0.369225700,1
0.372371500,0
0.375253300,1
0.377278800,0
0.377307400,1
0.378169700,0
0.378607600,1
0.380613000,0
0.381071600,1
0.381400200,0
0.383619800,1
0.383908700,0
0.384298500,1
0.385912900,0
0.386430500,1
0.387775500,0
0.388929500,1
0.390419300,0
0.393620900,1
0.394488300,0
0.394930600,1
0.397430800,0
0.398136900,1
0.399045100,0
0.399827500,1
0.401075500,0
0.402186100,1
0.403905000,0
0.404384300,1
0.406492600,0
0.409118300,1
0.409619600,0
0.412509500,1
0.414500200,0
0.415128200,1
0.416292700,0
0.416697700,1
0.417767800,0
0.420672800,1
0.421007000,0
0.423455200,1
0.424571400,0
0.427756300,1
0.427854900,0
0.428523400,1
0.429307800,0
0.429885400,1
0.431121000,0
0.433604500,1
0.436576000,0
0.439202400,1
0.440519900,0
0.442641800,1
0.445146200,0
0.448161200,1
0.449439500,0
0.451928200,1
0.453326700,0
0.454633100,1
0.457187400,0
0.458829000,1
0.460811000,0
0.463688000,1
0.465258500,0
0.465627300,1
0.466547200,0
0.468426200,1
0.470686200,0
0.473936800,1
0.476065100,0
0.477405200,1
0.479224600,0
0.479954000,1
0.481921100,0
0.482015900,1
0.482906400,0
0.486134400,1
0.489399300,0
0.491521800,1
0.492246400,0
0.494289000,1
0.495737500,0
0.495756400,1
0.497178400,0
0.499666800,1
0.499940200,0
0.500521900,1
0.502880800,0
0.505900400,1
0.507610200,0
0.508558900,1
0.510363100,0
0.511753600,1
0.512695200,0
0.513287100,1
0.514090200,0
0.515038600,1
0.515390200,0
0.515901700,1
0.518892500,0
0.520852300,1
0.523030800,0
0.523408700,1
0.525311900,0
0.527302600,1
0.529297000,0
0.532239700,1
0.533299100,0
0.533731400,1
0.535394400,0
0.537648900,1
0.538809500,0
0.540365600,1
0.542037300,0
0.542476400,1
0.542831000,0
0.544580900,1
0.545040000,0
0.548111400,1
0.549809100,0
0.552636300,1
0.555876600,0
0.557087000,1
0.559732200,0
0.562809300,1
0.565925600,0
0.568259600,1
0.568988400,0
0.569471700,1
0.572510400,0
0.574889500,1
0.575329800,0
0.577707900,1
0.579636300,0
0.582808500,1
0.583030500,0
0.584436800,1
0.587303600,0
0.589970600,1
0.591868800,0
0.594766300,1
0.595816600,0
0.596628700,1
0.598060700,0
0.600241400,1
0.603214900,0
0.604594200,1
0.607806000,0
0.608728000,1
0.610224200,0
0.612552100,1
0.615723900,0
0.615883900,1
0.618189100,0
0.618267700,1
0.619277200,0
0.622126400,1
0.623879500,0
0.626017500,1
0.627175600,0
0.627962100,1
0.629623700,0
0.630195900,1
0.632779400,0
0.634413700,1
0.637062900,0
0.637974200,1
0.640081200,0
0.641152300,1
0.641416400,0
0.642112000,1
0.643385200,0
0.645488900,1
0.648396700,0
0.649824600,1
0.651706300,0
0.653601600,1
0.654803300,0
0.656080600,1
0.658916500,0
0.659556300,1
0.660763300,0
0.663958000,1
0.665010900,0
0.666085300,1
0.668432800,0
0.671217600,1
0.671941600,0
0.672420900,1
0.673933500,0
0.676626700,1
0.677040700,0
0.679177200,1
0.680868100,0
0.681924600,1
0.684707500,0
0.687458500,1
0.690532100,0
0.692667800,1
0.695885900,0
0.696444800,1
0.697939600,0
0.699222300,1
0.701196300,0
0.701767800,1
0.703157900,0
0.706069900,1
0.708275500,0
0.710336000,1
0.711025700,0
0.712592300,1
0.712649200,0
0.714908400,1
0.716026200,0
0.716895100,1
0.717212900,0
0.718991600,1
0.720840900,0
0.723132200,1
0.724997700,0
0.725647400,1
0.726502300,0
0.727112400,1
0.730187500,0
0.732331600,1
0.734686100,0
0.734865600,1
0.735409600,0
0.736706700,1
0.738182800,0
0.739763800,1
0.740801500,0
0.740884100,1
0.743347300,0
0.743905400,1
0.745383000,0
0.747806400,1
0.750622200,0
0.750771000,1
0.752096400,0
0.754455200,1
0.755355000,0
0.758455300,1
0.760210400,0
0.762887800,1
0.764319900,0
0.765361800,1
0.768392500,0
0.771514900,1
0.773989500,0
0.774851200,1
0.777660900,0
0.780768400,1
0.782037100,0
0.784501900,1
0.786789900,0
0.790059400,1
0.792729500,0
0.793271700,1
0.793783800,0
0.794467200,1
0.794504000,0
0.796057800,1
0.797406600,0
0.798634500,1
0.801582300,0
0.804850700,1
0.805561500,0
0.806459100,1
0.808717100,0
0.809703600,1
0.809889500,0
0.811760400,1
0.812711300,0
0.814723000,1
0.816185800,0
0.817561300,1
0.820577600,0
0.822605600,1
0.825245300,0
0.827040300,1
0.827851300,0
0.829637800,1
0.832826100,0
0.833328500,1
0.834817300,0
0.835107600,1
0.835724000,0
0.838869700,1
0.840562700,0
0.843592300,1
0.846361300,0
0.846833300,1
0.847495400,0
0.849709200,1
0.850441000,0
0.853249700,1
0.853998500,0
0.856427900,1
0.858662300,0
0.860270700,1
0.860716800,0
0.863540800,1
0.864055500,0
0.865875700,1
0.866499100,0
0.869705200,1
0.871270200,0
0.871671400,1
0.872010200,0
0.874237100,1
0.876488500,0
0.877597800,1
0.878917800,0
0.881449600,1
0.883127200,0
0.885244700,1
0.886179100,0
0.888634400,1
0.891216900,0
0.894404300,1
0.895183900,0
0.897528300,1
0.898378800,0
0.899673200,1
0.902425900,1
